id,text,label
0,Is it cold outside?,1
1,Will it be uncomfortably cold?,1
2,Will it be frigid?,1
3,What is the expected high for today?,1
4,What is the expected temperature?,1
5,Will high temperatures be dangerous?,1
6,Is it dangerously cold?,1
7,When will the heat subside?,1
8,Is it hot?,1
9,Is it cold?,1
10,How cold is it now?,1
11,Will we have a cold day today?,1
12,When will the cold subside?,1
13,What highs are we expecting?,1
14,What lows are we expecting?,1
15,Is it warm?,1
16,Is it chilly?,1
17,What's the current temp in Celsius?,1
18,What is the temperature in Fahrenheit?,1
19,Is it overcast?,2
20,Will it be cloudy?,2
21,How much rain will fall today?,2
22,How much snow are we expecting?,2
23,Is it windy outside?,2
24,How much snow do we expect?,2
25,Is the forecast calling for snow today?,2
26,Will we see some sun?,2
27,When will the rain subside?,2
28,Is it cloudy?,2
29,Is it sunny now?,2
30,Will it rain?,2
31,Will we have much snow?,2
32,Are the winds dangerous?,2
33,What is the expected snowfall today?,2
34,Will it be dry?,2
35,Will it be breezy?,2
36,Will it be humid?,2
37,What is today's expected humidity?,2
38,Will the blizzard hit us?,2
39,Is it drizzling?,2
